LOTAXI
CONDOR
COOTARDE
'CONDOR,LOTAXI'
COOPATAG
'LOTAXI,CONDOR'
SÃO JOSÉ
VIAÇÃO PLANETA
VIAÇÃO PIONEIRA
VIAÇÃO CIDADE BRASÍLIA
VIPLAN
'VIPLAN,CONDOR'
ROTA DO SOL
'ROTA DO SOL,RIACHO GRANDE'
COOPERATIVA ALTERNATIVA
VIAÇÃO PIRACICABANA
TCB
'RIACHO GRANDE,ROTA DO SOL'
DENIS JONES DOS SANTOS BASTOS SARAUSA
MARIA LUCIA FERREIRA SANTANA
MARIA ALESSANDRA QUEIROZ DE CARVALHO
MCS
IVANILSON RODRIGUES MILITAO
JOSÉ ROBERTO CARNEIRO LOPO
RUBENS CARLOS DA CUNHA
VIAÇÃO SATÉLITE
HELIANO LUCIO DA SILVA JESUS
MARIA DO SOCORRO DA SILVA SANTOS
'VIAÇÃO VIVA BRASÍLIA,VIAÇÃO PLANETA'
'VIAÇÃO PLANETA,VIAÇÃO CIDADE BRASÍLIA'
COOTRANSP - GRANDE BRASILIA
'VIAÇÃO CIDADE BRASÍLIA,VIAÇÃO PLANETA'
'VIPLAN,LOTAXI'
COOPERTRAN
IZEQUIAS GOMES GARCIA
JESUS CORREA DA SILVA
MARCOS TEIXEIRA RODRIGUES
MÁRCIO MOULIN PEDROSA
ELIANE ALVES AMARAL
RONALDO DE JESUS CUNHA
'CONDOR,VIPLAN,LOTAXI'
'LOTAXI,VIPLAN,CONDOR'
NICOLINO CASELATO
'VIPLAN,CONDOR,LOTAXI'
HUANDER AURELIO DOS SANTOS
JOSE CARLOS DA CUNHA
OROZINO MENDES BORGES
ANTONIO MENDES  SOUSA
JOÃO MENDES DE SOUZA ROSA
EVANILSON BEZERRA BORGES
MARCOS AURELIO LOPES DOMINGOS
ALDEIR JOAQUIM BOTELHO RODRIGUES
MARLENE AMARAL DE SOUSA
MARCOS JOSÉ ALVES PINTO
EDMILSON DAMIÃO SÃO JOSÉ
MILTON DA MOTA SANTOS
COOBRATAETE
'SÃO JOSÉ,VIAÇÃO PIONEIRA'
COOPATRAM
JOSÉ AUGUSTO DE OLIVEIRA
PAULO CESAR FERREIRA LIMA
RÁPIDO BRASILIA
ELIOSMAR PEREIRA DE QUEIROZ
JOÃO OSORIO
EMILTON PEREIRA DE QUEIROZ
WEVERSON MARQUES VELOSO
JOSE NACELIO DE FIGUEIREDO
'VIAÇÃO SATÉLITE,VIAÇÃO SATÉLITE'
VIAÇÃO VIVA BRASÍLIA
'LOTAXI,VIPLAN'
'VIPLAN,COOPERATIVA ALTERNATIVA'
JORGE ANTONIO DA SILVA
IROILTO NUNES PEREIRA
ORCINO FRANCISCO DOS SANTOS
ANTONIO DO NASCIMENTO SOUZA
'CONDOR,VIPLAN'
'COOTRANSP - GRANDE BRASILIA,VIAÇÃO PIRACICABANA'
