0.056,'Samambaia Sul (2ª Avenida)/''''P'''' Sul (Av. Hélio Prates-Via -P1-P3)',2.00,52.78,VIPLAN,SAMAMBAIA (QS. 127),SAMAMBAIA (QS. 127),2ª AV. SUL-SAMAMBAIA
0.082,Núcleo Band/Metropolitna/Carrefour Norte  (SAAN-Água Mineral-SOF Norte),2.00,42.79,'VIPLAN,CONDOR',NÚCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,VIA LIG. METROPOLITANA/NÚCLEO BANDEIRANTE
0.087,Riacho Fundo II-I/Núcleo Bandeirante/Cruzeiro (QS 18-SOF Sul-SIA),2.00,84,ROTA DO SOL,QS 18 RIACHO FUNDO II,QS 18 RIACHO FUNDO II,VIA INT. QS 18/14
0.089,Cei. (M2 N-S)/ Tag. (SAMDU-Av. Central)/ Guará/ Fac. Euroamericana,2.50,82.94,CONDOR,SETOR M NORTE,SETOR M NORTE,VIA NM3 - CEILÂNDIA
0.090,Guará (QE 44)/Carrefour Norte/SAAN (Feira dos Importados),2.00,61.25,'ROTA DO SOL,RIACHO GRANDE',ANEL VIÁRIO 44/46-GUARÁ II,ANEL VIÁRIO 44/46-GUARÁ II,VIA ACES. BRASÍLIA MOTORS
0.092,Guará (Lúcio C.-Av. Cont.)/N. Band. (3ª Av.)/Tag. (EPNB-Pistão S-N -Av. Central),2.00,50.9,VIPLAN,LÚCIO COSTA (QD- 01),LÚCIO COSTA (QD- 01),EPTG - ESTR. PARQ. TAGUATINGA
0.101,Paranoá/W3 Norte (Rodoviária do Plano Piloto),3.00,32.7,VIAÇÃO PIONEIRA,PARANOÁ,RODOVIÁRIA DO PLANO PILOTO,AV. PARANOÁ
0.102,Rodoviária do Plano Piloto/Aeroporto,2.00,43.7,SÃO JOSÉ,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA LIG. N1/S1 OESTE (ALÇA DA ROD. P. PILOTO)
0.103,Rodoviária do Plano Piloto/Avenida das Nações Sul,2.00,31.09,COOPERATIVA ALTERNATIVA,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE
0.104,Rodoviária do Plano Piloto/Palácio da  Alvorada,1.50,18.37,SÃO JOSÉ,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE
0.107,Rodoviária do Plano Piloto/W3-L2 Sul (Esplanada),2.00,20.5,VIAÇÃO PIRACICABANA,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA N1 OESTE (EIXO MONUMENTAL)
0.108,Rodoviária do Plano Piloto/Três Poderes,1.50,6.09,TCB,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE
0.110,Rodoviária do Plano Piloto/UnB,2.00,11,SÃO JOSÉ,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE
0.111,Rodoviária do Plano Piloto/Presídio Nacional,2.00,45,SÃO JOSÉ,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1
0.113,Aeroporto/Esplanada/Setor Hoteleiro Norte-Sul/Centro de Convenções,8.00,38.78,TCB,AEROPORTO,AEROPORTO,EPAR - ESTR. PARQ. AEROPORTO DF - 047
0.114,Rodoviária do Plano Piloto/L2-W3 Sul,2.00,17.3,VIAÇÃO PIRACICABANA,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA LIG. N1/ S1 (ROD. P. PILOTO)
0.115,Rodoviária do Plano Piloto/L2-W3 Norte (Esplanada),2.00,21.37,'RIACHO GRANDE,ROTA DO SOL',RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA N1 LESTE (ESPLANADA DOS MINISTÉRIOS)
0.116,Rodoviária do Plano Piloto/Avenidas W3-L2 Norte,2.00,16.79,ROTA DO SOL,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA N1 OESTE (EIXO MONUMENTAL)
0.119,Núcleo Bandeirante/Vargem Bonita (Qd. 25),3.00,46.93,DENIS JONES DOS SANTOS BASTOS SARAUSA,NÚCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,AV. CONT. NÚCLEO BANDEIRANTE
0.122,W3 Norte - Sul / Eixo Leste Sul - Norte,2.00,29.64,CONDOR,SCRN 716,SCRN 716,AV. W3 NORTE
0.124,Rodoviária do Plano Piloto/SIA (W3 Sul-Feira dos Importados)/SCIA,2.00,40.05,ROTA DO SOL,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA LIG. N1/S1 OESTE (ALÇA DA ROD. P. PILOTO)
0.126,Núcleo Bandeirante/São Sebastião (Nova Betânia),2.30,101.18,MARIA LUCIA FERREIRA SANTANA,NÚCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,AV. CONT. NÚCLEO BANDEIRANTE
0.128,Rodoviária do Plano Piloto/Granja do Torto,2.00,36.12,COOPERATIVA ALTERNATIVA,RODOVIÁRIA DO PLANO PILOTO,RODOVIÁRIA DO PLANO PILOTO,VIA S1 LESTE
0.129,Núcleo Bandeirante/Paranoá (Aeroporto),3.00,49.36,VIPLAN,NÚCLEO BANDEIRANTE,PARANOÁ,VIA CONT. NÚCLEO BANDEIRANTE
0.132,Laranjeiras/Rodoviária do Plano Piloto,2.30,64.61,MARIA ALESSANDRA QUEIROZ DE CARVALHO,LARANJEIRAS,RODOVIÁRIA DO PLANO PILOTO,SMPW VIA ENTQ. 18/19
0.136,Rodoviária do Plano Piloto/Clube do Congresso,2.00,19.4,VIAÇÃO PIRACICABANA,RODOVIÁRIA DO PLANO PILOTO,CLUBE DO CONGRESSO,VIA LIG. N1/S1 OESTE (ALÇA DA ROD. P. PILOTO)
